"","cód_ibge","distritos","renda","quota","escolaridade","idade","mortalidade","txcresc","causasext","favel","denspop"
"1","1","Água Rasa",1961,34.6199989318848,7.59999990463257,32,13.8599996566772,-1.8400000333786,52.9799995422363,0,125.610000610352
"2","2","Alto de Pinheiros",4180,75.9599990844727,8.39999961853027,33,8.68000030517578,-2.51999998092651,38.5699996948242,0.689999997615814,57.560001373291
"3","3","Anhanguera",1093,4.5,5.80000019073486,23,15.3599996566772,18.1200008392334,22.6800003051758,0,8.56999969482422
"4","4","Aricanduva",1311,21.0200004577637,6.80000019073486,27,18.4300003051758,-1.07000005245209,76.2200012207031,5.38000011444092,138.539993286133
"5","5","Artur Alvim",1248,15.9099998474121,7,27,19.7299995422363,-1.39999997615814,67.25,4.1100001335144,167.399993896484
"6","6","Barra Funda",2359,34.310001373291,8,31,8.61999988555908,-2.14000010490417,37.9000015258789,4.84999990463257,25.6000003814697
"7","7","Bela Vista",2400,53.6500015258789,8.39999961853027,32,12.4099998474121,-2.00999999046326,59.8600006103516,0,249.600006103516
"8","8","Belém",1813,31.9899997711182,7.69999980926514,32,11.2700004577637,-3.03999996185303,78.9400024414062,2.6800000667572,70.9700012207031
"9","9","Bom Retiro",1710,37.5499992370605,7.69999980926514,30,22.9500007629395,-5.11999988555908,75.8399963378906,1.41999995708466,69.4700012207031
"10","10","Brás",1942,28.9699993133545,7,30,13.6400003433228,-4.48000001907349,120.669998168945,0,76.1900024414062
"11","11","Brasilândia",975,8.22000026702881,5.80000019073486,22,22,3.14000010490417,125.019996643066,16.6000003814697,112.059997558594
"12","12","Butantã",2311,50.3199996948242,8.39999961853027,31,18.1299991607666,-1.60000002384186,44.7299995422363,0.259999990463257,42.8199996948242
"13","13","Cachoeirinha",1347,12.3400001525879,6.19999980926514,23,15.710000038147,2.27999997138977,105.599998474121,17.4200000762939,105.919998168945
"14","14","Cambuci",1958,37.3899993896484,7.80000019073486,32,7.42000007629395,-2.83999991416931,40.5699996948242,0,82.2799987792969
"15","15","Campo Belo",3850,66.6500015258789,8.60000038146973,31,16.6299991607666,-3.10999989509583,68.0800018310547,6.8600001335144,75.629997253418
"16","16","Campo Grande",2592,32.9099998474121,8.19999980926514,29,19.5,0.670000016689301,76.9000015258789,2.1800000667572,64.7699966430664
"17","17","Campo Limpo",1218,15.1599998474121,6.40000009536743,24,17.8799991607666,0.330000013113022,71.75,13.6499996185303,126.639999389648
"18","18","Cangaíba",1147,17.25,6.80000019073486,26,11.1800003051758,1.9099999666214,61.1399993896484,6.38000011444092,79.0400009155273
"19","19","Capão Redondo",1246,10.289999961853,6.09999990463257,23,17.6399993896484,0.699999988079071,102.5,18.6499996185303,147.300003051758
"20","20","Carrão",1923,32.5800018310547,7.40000009536743,31,12.3400001525879,-1.87999999523163,61.8499984741211,0,105.900001525879
"21","21","Casa Verde",1847,29.3600006103516,7.40000009536743,29,12.6899995803833,-1.60000002384186,67.6699981689453,0,125.26000213623
"22","22","Cidade Ademar",1396,16.2000007629395,6.30000019073486,24,19.4899997711182,0.239999994635582,82.120002746582,16.2199993133545,194.660003662109
"23","23","Cidade Dutra",1371,15.1199998855591,6.5,24,21.8500003814697,0.870000004768372,79.3600006103516,20.4400005340576,60.1599998474121
"24","24","Cidade Lider",1151,17.2199993133545,6.40000009536743,24,16.4200000762939,0.189999997615814,100.580001831055,3.54999995231628,96.3899993896484
"25","25","Cidade Tiradentes",895,1.05999994277954,6,21,24.4599990844727,11.0600004196167,104.970001220703,0.620000004768372,108.440002441406
"26","26","Consolação",3117,84.6900024414062,8.80000019073486,35,16.4200000762939,-2.52999997138977,30.8899993896484,0,158.350006103516
"27","27","Cursino",2194,32.7999992370605,7.59999990463257,29,14.8500003814697,-1.17999994754791,72.0299987792969,1.87000000476837,81.3199996948242
"28","28","Ermelino Matarazzo",1058,11.8299999237061,6.30000019073486,24,13.9399995803833,1.92999994754791,72.5999984741211,4.76000022888184,120.919998168945
"29","29","Freguesia do Ó",1538,24.0400009155273,7.09999990463257,27,16.2999992370605,-1.38999998569489,63.0200004577637,2.79999995231628,135.559997558594
"30","30","Grajaú",936,4.96999979019165,5.5,21,20.5900001525879,7.07000017166138,97.1600036621094,19.5,29.6399993896484
"31","31","Guaianases",820,9.53999996185303,5.90000009536743,21,18.0799999237061,1.80999994277954,120.919998168945,0.189999997615814,103.48999786377
"32","32","Moema",4504,83.6900024414062,8.60000038146973,34,8.53999996185303,-0.829999983310699,35.75,0,82.4100036621094
"33","33","Iguatemi",866,4.84000015258789,5.40000009536743,21,19.6100006103516,8.47000026702881,99.4499969482422,3.25999999046326,45.8300018310547
"34","34","Ipiranga",1892,33.6599998474121,7.59999990463257,31,17.5900001525879,-1.52999997138977,74.9300003051758,6.13000011444092,89.5199966430664
"35","35","Itaim Bibi",3278,83.3000030517578,8.80000019073486,34,10.289999961853,-3.79999995231628,76.5400009155273,0.379999995231628,89.4599990844727
"36","36","Itaim Paulista",814,9.65999984741211,5.69999980926514,21,18.6200008392334,2.05999994277954,87.3499984741211,4.28999996185303,150.639999389648
"37","37","Itaquera",1182,12.4200000762939,6.40000009536743,24,16.9899997711182,1.02999997138977,82.9400024414062,3.23000001907349,126.400001525879
"38","38","Jabaquara",1905,24.4699993133545,7.09999990463257,27,12.6199998855591,-0.180000007152557,77.9599990844727,10.1700000762939,150.679992675781
"39","39","Jaçanã",1621,16.7600002288818,6.80000019073486,26,15.6599998474121,0.639999985694885,63.9900016784668,2.64000010490417,114.930000305176
